index,tag_column,original_value,corrected_value
2166,tag_7,DataProcessing,Data Processing
3621,tag_2,ActiveCampaign,Active Campaign
3710,tag_3,DataProtection,Data Protection
3710,tag_5,HospitalInfrastructure,Hospital Infrastructure
3710,tag_6,SensitiveData,Sensitive Data
3710,tag_7,ThreatPrevention,Threat Prevention
3856,tag_2,DataProtection,Data Protection
3856,tag_7,MedicalData,Medical Data
3978,tag_4,SoftwareProblem,Software Problem
3996,tag_4,DataProcessing,Data Processing
4925,tag_5,SoftwareConflict,Software Conflict
5593,tag_2,DataProtection,Data Protection
5593,tag_5,AccessManagement,Access Management
5687,tag_5,DataRobot,Data Robot
5803,tag_8,SystemSlowdown,System Slowdown
6761,tag_6,DataLoss,Data Loss
6768,tag_4,DataProtection,Data Protection
6768,tag_5,MedicalData,Medical Data
6781,tag_4,DataProtection,Data Protection
6781,tag_5,HospitalSystem,Hospital System
7292,tag_5,DataProtection,Data Protection
7399,tag_4,SoftwareUpdate,Software Update
7508,tag_4,DataProtection,Data Protection
7508,tag_5,SystemAccess,System Access
7561,tag_3,HealthIT,Health IT
7732,tag_4,DataProtection,Data Protection
7732,tag_8,MedicalInformation,Medical Information
7919,tag_4,DataProtection,Data Protection
8779,tag_4,DataProtection,Data Protection
9086,tag_2,DataLeak,Data Leak
9086,tag_4,SystemVulnerability,System Vulnerability
9086,tag_6,PatientData,Patient Data
9086,tag_7,SecurityAudit,Security Audit
9169,tag_4,BrandExpansion,Brand Expansion
9169,tag_5,DigitalMarketing,Digital Marketing
9325,tag_4,DataProtection,Data Protection
9422,tag_4,DigitalMarketing,Digital Marketing
9422,tag_5,ProductPromotion,Product Promotion
9602,tag_5,ProjectManagement,Project Management
9602,tag_6,DataProcessing,Data Processing
9617,tag_4,DataPipeline,Data Pipeline
9717,tag_6,RapidMiner,Rapid Miner
9742,tag_2,DataProtection,Data Protection
9742,tag_6,SystemSecurity,System Security
9742,tag_7,PatientPrivacy,Patient Privacy
9782,tag_5,DataPipeline,Data Pipeline
9823,tag_6,PlatformUpdate,Platform Update
