Queue,full_count,en_count,full_pct,en_pct,abs_pct_diff,rel_pct_diff
Technical Support,7260,3971,0.2934163197672069,0.28924175103794886,-0.0041745687292580325,-0.014227459238020866
Product Support,4560,2606,0.18429454795295638,0.18981717532231043,0.0055226273693540495,0.029966308991212116
Customer Service,3732,2045,0.15083053792991957,0.14895476728093815,-0.001875770648981423,-0.012436278983855131
IT Support,2943,1609,0.11894273127753303,0.1171971738655401,-0.0017455574119929346,-0.014675612315644302
Billing and Payments,2425,1349,0.09800751727761386,0.09825915944351372,0.00025164216589985966,0.002567580251901125
Returns and Exchanges,1226,686,0.04954936749787819,0.049967222667346496,0.00041785516946830914,0.00843310804090895
Service Outages and Maintenance,1024,581,0.04138544234733056,0.042319178381528155,0.0009337360341975937,0.022561944037256892
Sales and Pre-Sales,763,410,0.030837004405286344,0.029863791973195424,-0.0009732124320909197,-0.03155988886923411
Human Resources,473,285,0.019116517803014994,0.02075897734722121,0.0016424595442062172,0.08591834355664785
General Inquiry,337,187,0.013620013741260154,0.013620802680457426,7.889391972718679e-07,5.792499275399949e-05
