Tag,EN,DE,Overall,English Prevalence,German Prevalence,Signed Prevalence Diff,Absolute Prevalence Diff
Bug,3272,3176,6448,0.23832762764950105,0.28836026874886506,-0.050032641099364006,0.050032641099364006
Feedback,3960,2773,6733,0.2884405273508631,0.2517704739422553,0.036670053408607794,0.036670053408607794
Security,3243,2925,6168,0.23621531065627505,0.2655710913382967,-0.02935578068202166,0.02935578068202166
Sales,1311,731,2042,0.09549129579721757,0.0663700744506991,0.02912122134651847,0.02912122134651847
Disruption,2893,2073,4966,0.21072182970354725,0.18821499909206466,0.022506830611482592,0.022506830611482592
Recovery,1288,830,2118,0.09381600990603832,0.07535863446522607,0.018457375440812246,0.018457375440812246
Tech Support,8145,6343,14488,0.5932697210284799,0.5759033956782277,0.017366325350252176,0.017366325350252176
Maintenance,483,538,1021,0.03518100371476437,0.04884692209914654,-0.013665918384382171,0.013665918384382171
Performance,6338,5230,11568,0.4616505207953966,0.47485019066642453,-0.013199669871027941,0.013199669871027941
Outage,2183,1612,3795,0.1590064826280137,0.14635917922643907,0.012647303401574633,0.012647303401574633
Crash,573,329,902,0.041736470245465805,0.029871073179589612,0.011865397065876193,0.011865397065876193
Support,589,589,1178,0.0429018865175905,0.05347739240966043,-0.01057550589206993,0.01057550589206993
Product,1096,985,2081,0.07983101464054192,0.0894316324677683,-0.009600617827226376,0.009600617827226376
Integration,326,367,693,0.02374535654454075,0.033321227528599964,-0.009575870984059213,0.009575870984059213
Payment,674,448,1122,0.04909316046325297,0.04067550390412203,0.008417656559130939,0.008417656559130939
Documentation,2949,2456,5405,0.21480078665598368,0.22298892318866897,-0.008188136532685297,0.008188136532685297
Billing,795,564,1359,0.05790662102119601,0.05120755402215362,0.006699066999042387,0.006699066999042387
Network,1787,1366,3153,0.13016242989292737,0.12402396949337208,0.00613846039955529,0.00613846039955529
Feature,3201,2634,5835,0.2331560929419477,0.23915017250771745,-0.00599407956576975,0.00599407956576975
Software,419,390,809,0.03051933862626557,0.03540947884510623,-0.0048901402188406586,0.0048901402188406586
Marketing,591,429,1020,0.04304756355160609,0.03895042672961685,0.004097136821989242,0.004097136821989242
IT,7943,6411,14354,0.5785563405929055,0.5820773560922462,-0.003521015499340696,0.003521015499340696
Hardware,708,600,1308,0.051569670041517954,0.05447612130016343,-0.0029064512586454774,0.0029064512586454774
Virus,389,343,732,0.028334183116031756,0.031142182676593428,-0.002807999560561672,0.002807999560561672
Account,339,300,639,0.024692257265642073,0.027238060650081716,-0.0025458033844396426,0.0025458033844396426
