Dimension,Metric,Point Estimate,CI 2.5%,CI 97.5%,Iterations
Priority,L1 Total Abs Pct Diff,0.01905710612479347,0.005678827467324079,0.04481645560051943,1000
Priority,Total Variation Distance,0.009528553062396736,0.0028394137336620394,0.022408227800259715,1000
Priority,Cramers V,0.010141213092951925,0.003213771293032757,0.023191374187568028,1000
Type,L1 Total Abs Pct Diff,0.009797871726517457,0.005987218963123668,0.03805431424176322,1000
Type,Total Variation Distance,0.0048989358632587285,0.002993609481561834,0.01902715712088161,1000
Type,Cramers V,0.00726847024906681,0.0038889738316038648,0.022988789120116215,1000
Queue,L1 Total Abs Pct Diff,0.039399685761384626,0.027730488440122658,0.06885839267759031,1000
Queue,Total Variation Distance,0.019699842880692313,0.013865244220061329,0.034429196338795154,1000
Queue,Cramers V,0.02422764193421707,0.019468483354534633,0.04159119764188359,1000
Version,L1 Total Abs Pct Diff,0.05326330113391192,0.030524675532314773,0.07646464211124669,1000
Version,Total Variation Distance,0.02663165056695596,0.015262337766157387,0.038232321055623346,1000
Version,Cramers V,0.03671659944198444,0.025106154555830894,0.04944898326372194,1000
