Index,Recorded Language,Predicted Language,Prediction Confidence,Subject,Any Disagreement,Potential Mismatch
0,DE,DE,0.9943853970073895,Wesentlicher Sicherheitsvorfall,False,False
1,EN,EN,0.631456613937876,Account Disruption,False,False
2,EN,EN,0.8662026100514396,Query About Smart Home System Integration Features,False,False
3,EN,EN,0.943435100994937,Inquiry Regarding Invoice Details,False,False
4,EN,EN,0.7877134237405072,Question About Marketing Agency Software Compatibility,False,False
5,EN,EN,0.663942125359705,Feature Query,False,False
6,EN,EN,0.9315579943343852,System Interruptions,False,False
7,EN,EN,0.9240580128086381,Connectivity Problems with Printer on MacBook Pro,False,False
8,DE,DE,0.9974478313731134,Anfrage nach detaillierten Angaben zur Systemarchitektur der Plattform,False,False
9,DE,DE,0.998022322897073,Anfrage zur Klärung der Auswirkungen eines Serviceausfalls,False,False
10,EN,EN,0.9725147280826055,VPN Access Issue,False,False
11,DE,DE,0.9992756922227266,Issue with SaaS Platform Functionality,False,False
12,EN,EN,0.928368800614633,Immediate Help Needed: Technical Problem with Cloud SaaS Service,False,False
13,EN,EN,0.8996724725502926,Inquiry for Detailed Information on Agency Offerings,False,False
14,EN,DE,0.7095192827153187,Request for Issue Explanation,True,False
15,EN,EN,0.678826049522202,Inquiry for In-Depth Details on Financial Institution Offerings,False,False
16,EN,EN,0.9607979004370527,Enhancing Multi-Unit Marketing Processes,False,False
17,EN,EN,0.8724519278430505,Inquiry for Comprehensive Marketing Service Details,False,False
18,EN,EN,0.526282289634966,Query About Future Service Disruptions and Maintenance Timelines,False,False
19,EN,EN,0.7849163528368,Proposal for Upgrades to Big Data Analytics Systems,False,False
20,EN,EN,0.9728519357930643,Guidelines for Incorporating Seagate Expansion Drives,False,False
21,EN,EN,0.9445401917663008,Unable to Access Office Applications,False,False
22,EN,EN,0.7816625422664736,Query,False,False
23,EN,EN,0.9440074464968471,Multiple Device Connection Problems,False,False
24,EN,EN,0.9093294595879177,Network Connection Problems,False,False
25,DE,DE,0.9955547158737188,Verbindungsstörung,False,False
26,EN,EN,0.8951712400641342,Audio Hardware Detected,False,False
27,DE,DE,0.9971181381550219,Anfrage zu Sicherheitsvorkehrungen,False,False
28,EN,EN,0.8473609318575026,Resolving Bose Headset and QNAP NAS Connection Problems,False,False
29,EN,EN,0.9530317655424333,Intermittent Access Problems on SaaS Platform,False,False
30,EN,EN,0.7714893443815748,Problem with Payment Billing Procedures,False,False
31,EN,EN,0.7996351587591379,Request for CI/CD Pipeline Documentation,False,False
32,DE,EN,0.6978708717398335,Video Issue with Mini-Projector on Ubuntu,True,False
33,EN,EN,0.868824745533123,Connectivity Problems with Smart Device,False,False
34,EN,EN,0.787039795877135,Inquiry for Comprehensive Billing Procedure Details,False,False
35,EN,EN,0.988638051851213,Urgent: Ongoing System Failures Disrupting EMR/PACS Telehealth Services,False,False
36,EN,EN,0.9009322280233611,Multiple Equipment Failures Affecting Operations,False,False
37,EN,EN,0.8979658507116369,Organizational Revision,False,False
38,EN,EN,0.9757125473567786,Inquiry for Guidance on Smart Water Leak Detector Sensor Setup,False,False
39,DE,DE,0.9958140438832673,SSD-Ausfall,False,False
40,EN,EN,0.939847015557046,Request for Integration Assistance,False,False
41,DE,DE,0.9950273281968379,Network Connectivity Issues,False,False
42,EN,EN,0.8901157880846691,Alert for Unauthorized Entry,False,False
43,DE,DE,0.9973867000034912,Anfrage zur Kompatibilität und Sicherheitsintegration,False,False
44,DE,DE,0.9950744105983322,Mängel im Incident-Response-Prozess,False,False
45,DE,DE,0.9957519626607687,Investment Inquiry,False,False
46,EN,EN,0.6029847139646076,Multiple Product Interruptions Disrupting Services,False,False
47,EN,EN,0.7285211221141492,Revise Marketing Firm Framework,False,False
48,EN,EN,0.8705561588818428,Query Regarding Customized Rule-Driven ESG Investment Approaches,False,False
49,DE,DE,0.9962085104709375,Anfrage zur Rückerstattung,False,False
50,EN,EN,0.899833140628185,Overheating Concern,False,False
51,DE,DE,0.9978861194907365,Eiltiges Update für Hardware und Software,False,False
52,EN,EN,0.9592041296869478,Integration of Configuration Modifications,False,False
53,DE,DE,0.9975773998012124,Anfrage zur Verbindung externer Geräte über Practices-Integrations-APIs,False,False
54,DE,DE,0.9983853474556333,Request for Marketing Information,False,False
55,EN,EN,0.7797568307470936,Financial Investment Inquiry,False,False
56,EN,EN,0.8703064165021618,Query Regarding Investment Solutions,False,False
57,EN,EN,0.7922331450719106,Query Regarding Integration Resources,False,False
58,DE,DE,0.9979570928903831,Anfrage zur Überarbeitung der Verkaufsdokumente für Sicherheitsdienste,False,False
59,DE,DE,0.9956272614431315,Anfrage zu technischen Spezifikationen der SaaS-Lösung,False,False
60,EN,EN,0.8937711483999571,Discrepancies in Recent Billing Statement,False,False
61,DE,DE,0.9980697322129333,Dringende Angelegenheit: Verlust der WLAN-Verbindung,False,False
62,EN,EN,0.7762072445200183,Request for Clarification on Compliance Procedures,False,False
63,EN,EN,0.9534824522443673,Office Equipment Malfunctions,False,False
64,DE,DE,0.9928102093697732,Anfrage zu Abrechnungs- und Zahlungsdetails,False,False
65,EN,EN,0.9714550765902479,Network Connectivity Problems Impacting Medical Equipment,False,False
