Type,Queue,Group Size,Recurrence Rate,Impact Score,Actionable
Request,Billing and Payments,657,0.6103500761035008,0.652908858921977,True
Incident,Technical Support,2053,0.2795908426692645,0.6404481246955674,True
Change,Billing and Payments,86,0.6976744186046512,0.6167559668777398,True
Request,Customer Service,926,0.490280777537797,0.6020603678544489,True
Request,Technical Support,815,0.5006134969325153,0.5893196190521726,True
Request,Human Resources,88,0.6590909090909091,0.5839638223442412,True
Request,Sales and Pre-Sales,209,0.5645933014354066,0.5262711354838409,True
Request,Product Support,580,0.4672413793103448,0.5148329442195609,True
Change,General Inquiry,57,0.5789473684210527,0.509000435819212,True
Incident,Product Support,1181,0.3099068585944115,0.4966221877238778,False
Request,IT Support,355,0.48732394366197185,0.4882656641260128,False
Request,Service Outages and Maintenance,81,0.5432098765432098,0.48294227658410155,False
Change,Customer Service,157,0.5222929936305732,0.4797613559153763,False
Change,Technical Support,235,0.46808510638297873,0.4483398451669067,False
Change,Human Resources,18,0.5,0.4335070628348758,False
Change,Sales and Pre-Sales,76,0.4868421052631579,0.433491809162458,False
Request,General Inquiry,41,0.4878048780487805,0.4275005049125016,False
Problem,Technical Support,868,0.2891705069124424,0.4178049993153775,False
Request,Returns and Exchanges,177,0.4406779661016949,0.4134691687237362,False
Incident,Customer Service,512,0.353515625,0.4037798914698003,False
Change,Returns and Exchanges,85,0.4470588235294118,0.4010317182888742,False
Problem,Product Support,572,0.3356643356643357,0.40011799209071497,False
Change,IT Support,281,0.3807829181494662,0.38222245719743525,False
Incident,Returns and Exchanges,275,0.38181818181818183,0.38194376300757205,False
Change,Product Support,273,0.38095238095238093,0.3808095006146638,False
Incident,IT Support,583,0.2915951972555746,0.36436173812493783,False
Incident,Billing and Payments,314,0.34394904458598724,0.3569749411301156,False
Problem,Billing and Payments,292,0.3458904109589041,0.35435810607930923,False
Problem,Sales and Pre-Sales,53,0.39622641509433965,0.3510810686615997,False
Problem,Returns and Exchanges,149,0.3691275167785235,0.34648035122933535,False
Change,Service Outages and Maintenance,129,0.3643410852713178,0.33846728364994316,False
Problem,Customer Service,450,0.28444444444444444,0.332298793094117,False
Problem,Human Resources,26,0.34615384615384615,0.30275806512046155,False
Incident,Human Resources,153,0.3137254901960784,0.29961395566507165,False
Problem,IT Support,390,0.2564102564102564,0.2964991819351293,False
Incident,Sales and Pre-Sales,72,0.3055555555555556,0.2768060291172809,False
Incident,Service Outages and Maintenance,330,0.24545454545454545,0.2753870610636319,False
Problem,General Inquiry,31,0.2903225806451613,0.25571736090379144,False
Incident,General Inquiry,58,0.2413793103448276,0.21888674269781816,False
Problem,Service Outages and Maintenance,41,0.14634146341463414,0.13384196832713577,False
