KMeans Cluster,Mean Similarity,Cluster Label,Similarity Tier
43,0.3825505,"outage, service, service outage, issue, disruption, impact",Low
23,0.26301402,"integration, analytic, team, support, provide, investment",Low
29,0.45377558,"billing, payment, plan, option, pricing, discount",High
16,0.31497973,"marketing, agency, marketing agency, issue, digital, campaign",Low
23,0.30665487,"integration, analytic, team, support, provide, investment",Low
43,0.41792595,"outage, service, service outage, issue, disruption, impact",Low
39,0.21283817,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.38983902,"connectivity, network, device, issue, problem, connectivity issue",Low
6,0.36913678,"saas platform, saas, platform, issue, server, performance",Low
23,0.26850092,"integration, analytic, team, support, provide, investment",Low
22,0.28785607,"issue, software, update, problem, integration, resolve",Low
23,0.303481,"integration, analytic, team, support, provide, investment",Low
23,0.36387765,"integration, analytic, team, support, provide, investment",Low
25,0.55789423,"marketing, digital, social medium, social, medium, strategy",High
23,0.22480975,"integration, analytic, team, support, provide, investment",Low
23,0.30507693,"integration, analytic, team, support, provide, investment",Low
31,0.31845215,"security, healthcare, compliance, security solution, datum, solution",Low
22,0.24557935,"issue, software, update, problem, integration, resolve",Low
29,0.49072096,"billing, payment, plan, option, pricing, discount",High
39,0.49423373,"connectivity, network, device, issue, problem, connectivity issue",High
39,0.53677523,"connectivity, network, device, issue, problem, connectivity issue",High
39,0.28268528,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.22241172,"connectivity, network, device, issue, problem, connectivity issue",Low
6,0.3140824,"saas platform, saas, platform, issue, server, performance",Low
36,0.48360446,"billing, discrepancy, payment, billing discrepancy, issue, account",High
12,0.3254157,"integration, integrate, documentation, step, saas, process",Low
39,0.47898424,"connectivity, network, device, issue, problem, connectivity issue",High
7,0.48598653,"billing, update billing, payment, billing information, update, request update",High
23,0.18838519,"integration, analytic, team, support, provide, investment",Low
43,0.32381105,"outage, service, service outage, issue, disruption, impact",Low
23,0.24372658,"integration, analytic, team, support, provide, investment",Low
23,0.255666,"integration, analytic, team, support, provide, investment",Low
23,0.30622673,"integration, analytic, team, support, provide, investment",Low
37,0.30220506,"access, unauthorized, unauthorized access, security, access attempt, medical",Low
43,0.3999351,"outage, service, service outage, issue, disruption, impact",Low
23,0.24544233,"integration, analytic, team, support, provide, investment",Low
23,0.26909658,"integration, analytic, team, support, provide, investment",Low
14,0.27105847,"server, dashboard, issue, load, project dashboard, peak",Low
23,0.3388882,"integration, analytic, team, support, provide, investment",Low
23,0.3030652,"integration, analytic, team, support, provide, investment",Low
2,0.32031068,"investment, analytic, data analytic, data, tool, investment strategy",Low
12,0.3259913,"integration, integrate, documentation, step, saas, process",Low
36,0.5017075,"billing, discrepancy, payment, billing discrepancy, issue, account",High
23,0.26898742,"integration, analytic, team, support, provide, investment",Low
39,0.32350355,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.5217454,"connectivity, network, device, issue, problem, connectivity issue",High
39,0.399176,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.2236533,"integration, analytic, team, support, provide, investment",Low
39,0.3226509,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.36281186,"connectivity, network, device, issue, problem, connectivity issue",Low
6,0.27804214,"saas platform, saas, platform, issue, server, performance",Low
23,0.3002486,"integration, analytic, team, support, provide, investment",Low
43,0.307883,"outage, service, service outage, issue, disruption, impact",Low
39,0.36550036,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.27729926,"integration, analytic, team, support, provide, investment",Low
5,0.3761054,"security, breach, security breach, incident, medical, hospital",Low
23,0.2147162,"integration, analytic, team, support, provide, investment",Low
12,0.3589885,"integration, integrate, documentation, step, saas, process",Low
43,0.36322868,"outage, service, service outage, issue, disruption, impact",Low
22,0.30007818,"issue, software, update, problem, integration, resolve",Low
34,0.511723,"charge, billing, invoice, account, statement, subscription",High
31,0.34372887,"security, healthcare, compliance, security solution, datum, solution",Low
12,0.416035,"integration, integrate, documentation, step, saas, process",Low
43,0.24126968,"outage, service, service outage, issue, disruption, impact",Low
23,0.20613717,"integration, analytic, team, support, provide, investment",Low
36,0.34450367,"billing, discrepancy, payment, billing discrepancy, issue, account",Low
23,0.30298722,"integration, analytic, team, support, provide, investment",Low
43,0.37456852,"outage, service, service outage, issue, disruption, impact",Low
23,0.119027354,"integration, analytic, team, support, provide, investment",Low
23,0.31034955,"integration, analytic, team, support, provide, investment",Low
43,0.41273132,"outage, service, service outage, issue, disruption, impact",Low
31,0.33309823,"security, healthcare, compliance, security solution, datum, solution",Low
35,0.36256835,"quickbooks, quickbooks online, online, integration, integrate quickbooks, integrate",Low
39,0.43715027,"connectivity, network, device, issue, problem, connectivity issue",High
39,0.3019065,"connectivity, network, device, issue, problem, connectivity issue",Low
43,0.40379906,"outage, service, service outage, issue, disruption, impact",Low
23,0.24901193,"integration, analytic, team, support, provide, investment",Low
25,0.44736204,"marketing, digital, social medium, social, medium, strategy",High
34,0.5916394,"charge, billing, invoice, account, statement, subscription",High
31,0.36723033,"security, healthcare, compliance, security solution, datum, solution",Low
9,0.31049252,"investment, analysis, issue, discrepancy, data, datum",Low
34,0.61864346,"charge, billing, invoice, account, statement, subscription",High
43,0.35333008,"outage, service, service outage, issue, disruption, impact",Low
34,0.6516518,"charge, billing, invoice, account, statement, subscription",High
23,0.27616757,"integration, analytic, team, support, provide, investment",Low
39,0.20853283,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.16739996,"integration, analytic, team, support, provide, investment",Low
6,0.3184208,"saas platform, saas, platform, issue, server, performance",Low
23,0.20975542,"integration, analytic, team, support, provide, investment",Low
25,0.46369475,"marketing, digital, social medium, social, medium, strategy",High
23,0.26073718,"integration, analytic, team, support, provide, investment",Low
39,0.41369116,"connectivity, network, device, issue, problem, connectivity issue",Low
43,0.39454067,"outage, service, service outage, issue, disruption, impact",Low
43,0.23496337,"outage, service, service outage, issue, disruption, impact",Low
39,0.21379013,"connectivity, network, device, issue, problem, connectivity issue",Low
20,0.34811604,"crash, issue, software, application, software crash, problem",Low
23,0.16756035,"integration, analytic, team, support, provide, investment",Low
23,0.2874504,"integration, analytic, team, support, provide, investment",Low
31,0.39942876,"security, healthcare, compliance, security solution, datum, solution",Low
42,0.4279756,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",High
6,0.38984132,"saas platform, saas, platform, issue, server, performance",Low
39,0.40384802,"connectivity, network, device, issue, problem, connectivity issue",Low
43,0.34807494,"outage, service, service outage, issue, disruption, impact",Low
39,0.28479284,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.28613967,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.28138003,"integration, analytic, team, support, provide, investment",Low
23,0.3147851,"integration, analytic, team, support, provide, investment",Low
33,0.32604247,"campaign, digital campaign, digital, agency, marketing, issue",Low
35,0.47647554,"quickbooks, quickbooks online, online, integration, integrate quickbooks, integrate",High
34,0.48435768,"charge, billing, invoice, account, statement, subscription",High
23,0.24313645,"integration, analytic, team, support, provide, investment",Low
23,0.21663006,"integration, analytic, team, support, provide, investment",Low
7,0.60869473,"billing, update billing, payment, billing information, update, request update",High
23,0.23618571,"integration, analytic, team, support, provide, investment",Low
34,0.60738546,"charge, billing, invoice, account, statement, subscription",High
39,0.28395763,"connectivity, network, device, issue, problem, connectivity issue",Low
31,0.35315228,"security, healthcare, compliance, security solution, datum, solution",Low
23,0.29896215,"integration, analytic, team, support, provide, investment",Low
14,0.27426443,"server, dashboard, issue, load, project dashboard, peak",Low
39,0.37168568,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.31733355,"connectivity, network, device, issue, problem, connectivity issue",Low
43,0.28627503,"outage, service, service outage, issue, disruption, impact",Low
23,0.29945606,"integration, analytic, team, support, provide, investment",Low
39,0.32035813,"connectivity, network, device, issue, problem, connectivity issue",Low
22,0.24332689,"issue, software, update, problem, integration, resolve",Low
23,0.26726386,"integration, analytic, team, support, provide, investment",Low
12,0.40317336,"integration, integrate, documentation, step, saas, process",Low
23,0.24315807,"integration, analytic, team, support, provide, investment",Low
39,0.34799898,"connectivity, network, device, issue, problem, connectivity issue",Low
12,0.31960022,"integration, integrate, documentation, step, saas, process",Low
6,0.30639735,"saas platform, saas, platform, issue, server, performance",Low
39,0.37481162,"connectivity, network, device, issue, problem, connectivity issue",Low
6,0.4171153,"saas platform, saas, platform, issue, server, performance",Low
39,0.39494082,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.32864168,"integration, analytic, team, support, provide, investment",Low
5,0.27474138,"security, breach, security breach, incident, medical, hospital",Low
43,0.43328047,"outage, service, service outage, issue, disruption, impact",High
23,0.23327984,"integration, analytic, team, support, provide, investment",Low
39,0.3734983,"connectivity, network, device, issue, problem, connectivity issue",Low
6,0.38968766,"saas platform, saas, platform, issue, server, performance",Low
23,0.23907365,"integration, analytic, team, support, provide, investment",Low
31,0.4026347,"security, healthcare, compliance, security solution, datum, solution",Low
25,0.44851562,"marketing, digital, social medium, social, medium, strategy",High
39,0.3538316,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.45459473,"connectivity, network, device, issue, problem, connectivity issue",High
22,0.22837582,"issue, software, update, problem, integration, resolve",Low
31,0.31618217,"security, healthcare, compliance, security solution, datum, solution",Low
23,0.37238362,"integration, analytic, team, support, provide, investment",Low
43,0.31174815,"outage, service, service outage, issue, disruption, impact",Low
23,0.33426115,"integration, analytic, team, support, provide, investment",Low
23,0.3300925,"integration, analytic, team, support, provide, investment",Low
23,0.2593524,"integration, analytic, team, support, provide, investment",Low
23,0.26644582,"integration, analytic, team, support, provide, investment",Low
23,0.29566428,"integration, analytic, team, support, provide, investment",Low
23,0.32117087,"integration, analytic, team, support, provide, investment",Low
39,0.2503563,"connectivity, network, device, issue, problem, connectivity issue",Low
36,0.29993054,"billing, discrepancy, payment, billing discrepancy, issue, account",Low
39,0.3273547,"connectivity, network, device, issue, problem, connectivity issue",Low
31,0.30600226,"security, healthcare, compliance, security solution, datum, solution",Low
39,0.27426118,"connectivity, network, device, issue, problem, connectivity issue",Low
42,0.2985516,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",Low
23,0.20877376,"integration, analytic, team, support, provide, investment",Low
5,0.36095893,"security, breach, security breach, incident, medical, hospital",Low
43,0.28978166,"outage, service, service outage, issue, disruption, impact",Low
23,0.23458895,"integration, analytic, team, support, provide, investment",Low
23,0.27361616,"integration, analytic, team, support, provide, investment",Low
39,0.42968968,"connectivity, network, device, issue, problem, connectivity issue",High
23,0.22289498,"integration, analytic, team, support, provide, investment",Low
23,0.32745233,"integration, analytic, team, support, provide, investment",Low
34,0.52679044,"charge, billing, invoice, account, statement, subscription",High
23,0.25948098,"integration, analytic, team, support, provide, investment",Low
25,0.31061226,"marketing, digital, social medium, social, medium, strategy",Low
6,0.36191404,"saas platform, saas, platform, issue, server, performance",Low
23,0.31515336,"integration, analytic, team, support, provide, investment",Low
43,0.31927335,"outage, service, service outage, issue, disruption, impact",Low
31,0.42084116,"security, healthcare, compliance, security solution, datum, solution",Low
6,0.4535362,"saas platform, saas, platform, issue, server, performance",High
39,0.22090565,"connectivity, network, device, issue, problem, connectivity issue",Low
6,0.29260555,"saas platform, saas, platform, issue, server, performance",Low
31,0.37174532,"security, healthcare, compliance, security solution, datum, solution",Low
23,0.3647862,"integration, analytic, team, support, provide, investment",Low
39,0.32370585,"connectivity, network, device, issue, problem, connectivity issue",Low
31,0.37033033,"security, healthcare, compliance, security solution, datum, solution",Low
39,0.48858932,"connectivity, network, device, issue, problem, connectivity issue",High
39,0.42691055,"connectivity, network, device, issue, problem, connectivity issue",High
39,0.25401744,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.36978647,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.14763777,"integration, analytic, team, support, provide, investment",Low
6,0.31324357,"saas platform, saas, platform, issue, server, performance",Low
23,0.3385166,"integration, analytic, team, support, provide, investment",Low
23,0.26016122,"integration, analytic, team, support, provide, investment",Low
23,0.26750937,"integration, analytic, team, support, provide, investment",Low
23,0.33047995,"integration, analytic, team, support, provide, investment",Low
39,0.33709502,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.17609064,"integration, analytic, team, support, provide, investment",Low
43,0.33663473,"outage, service, service outage, issue, disruption, impact",Low
39,0.35320106,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.30256975,"integration, analytic, team, support, provide, investment",Low
36,0.49200606,"billing, discrepancy, payment, billing discrepancy, issue, account",High
39,0.2587052,"connectivity, network, device, issue, problem, connectivity issue",Low
34,0.6325694,"charge, billing, invoice, account, statement, subscription",High
23,0.35538563,"integration, analytic, team, support, provide, investment",Low
22,0.31162322,"issue, software, update, problem, integration, resolve",Low
22,0.28510115,"issue, software, update, problem, integration, resolve",Low
43,0.38084793,"outage, service, service outage, issue, disruption, impact",Low
5,0.3315135,"security, breach, security breach, incident, medical, hospital",Low
35,0.5963809,"quickbooks, quickbooks online, online, integration, integrate quickbooks, integrate",High
36,0.5290798,"billing, discrepancy, payment, billing discrepancy, issue, account",High
39,0.41244897,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.35325834,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.20886286,"connectivity, network, device, issue, problem, connectivity issue",Low
43,0.35349396,"outage, service, service outage, issue, disruption, impact",Low
5,0.38964623,"security, breach, security breach, incident, medical, hospital",Low
23,0.24700658,"integration, analytic, team, support, provide, investment",Low
39,0.53759813,"connectivity, network, device, issue, problem, connectivity issue",High
39,0.25111872,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.5661602,"connectivity, network, device, issue, problem, connectivity issue",High
6,0.3694472,"saas platform, saas, platform, issue, server, performance",Low
43,0.35485846,"outage, service, service outage, issue, disruption, impact",Low
23,0.35274434,"integration, analytic, team, support, provide, investment",Low
39,0.2822921,"connectivity, network, device, issue, problem, connectivity issue",Low
6,0.36141515,"saas platform, saas, platform, issue, server, performance",Low
43,0.39713582,"outage, service, service outage, issue, disruption, impact",Low
